favorite_song,favorite_artist,recommended_song,recommended_artist,similarity_score
Still Loving You,Scorpions,Cryin',Aerosmith,17.053376900000007
Still Loving You,Scorpions,Walk This Way,Aerosmith,20.294729800000006
