,id,name,artists,acousticness,liveness,instrumentalness,energy,danceability,valence
128,268dguW2tmVGU6TK4URknX,Banging the Neighborhood,ManaIsland,0.145,0.196,2.59e-05,0.763,0.441,0.374
32,7KGFNruz20BVdcSzoQrSlu,After Slice,Ivory Waves,0.289,0.0632,0.0221,0.348,0.664,0.607
